ORIGIN_AIRPORT,ORIGIN_AIRPORT_NAME,ORIGIN_LATITUDE,ORIGIN_LONGITUDE,flights,avg_arrival_delay,delayed_15_pct
ORH,Worcester Regional Airport,42.26734,-71.87571,691,0.5441389290882779,18.23
OTH,Southwest Oregon Regional Airport (North Bend Municipal),43.41714,-124.24603,296,16.1722972972973,29.05
OTZ,Ralph Wien Memorial Airport,66.88468,-162.59855,691,6.562952243125904,22.14
PAH,Barkley Regional Airport,37.06083,-88.77375,682,4.997067448680352,13.05
PBI,Palm Beach International Airport,26.68316,-80.09559,23868,7.444444444444445,21.21
PDX,Portland International Airport,45.58872,-122.5975,51316,0.6808402837321693,13.19
PHF,Newport News/Williamsburg International Airport,37.1319,-76.49299,1343,8.409530900967981,19.14
PHL,Philadelphia International Airport,39.87195,-75.24114,70816,3.859551513782196,21.22
PHX,Phoenix Sky Harbor International Airport,33.43417,-112.00806,158436,4.033855941831402,18.42
PIA,General Wayne A. Downing Peoria International Airport,40.66424,-89.69331,4960,5.449193548387097,19.07
PIB,Hattiesburg-Laurel Regional Airport,31.46715,-89.33706,615,8.391869918699188,17.72
PIH,Pocatello Regional Airport,42.91131,-112.59586,709,2.1875881523272214,8.6
PIT,Pittsburgh International Airport,40.49147,-80.23287,25791,-1.5000969330386569,13.91
PLN,Pellston Regional Airport of Emmet County,45.57093,-84.79672,792,6.931818181818182,13.01
PNS,Pensacola International Airport (Pensacola Gulf Coast Regional Airport),30.47331,-87.18744,6876,3.2008435136707387,15.66
PPG,Pago Pago International Airport (Tafuna Airport),14.33102,-170.71053,115,27.643478260869564,30.43
PSC,Tri-Cities Airport,46.26468,-119.11903,2603,0.4944295044179793,12.83
PSE,Mercedita Airport,18.0083,-66.56301,798,-4.339598997493734,14.04
PSG,Petersburg James A. Johnson Airport,56.80165,-132.94528,712,5.695224719101123,21.35
PSP,Palm Springs International Airport,33.82922,-116.50625,9537,5.826150781168082,17.43
PUB,Pueblo Memorial Airport,38.28909,-104.49657,253,2.2213438735177866,16.21
PVD,Theodore Francis Green State Airport,41.724,-71.42822,11849,0.10043041606886657,15.39
PWM,Portland International Jetport,43.64617,-70.30875,5004,3.3361310951239007,17.13
RAP,Rapid City Regional Airport,44.04532,-103.05737,3430,3.363848396501458,16.15
RDD,Redding Municipal Airport,40.50898,-122.2934,768,0.62890625,14.06
RDM,Redmond Municipal Airport (Roberts Field),44.25407,-121.14996,2319,0.8020698576972833,13.63
RDU,Raleigh-Durham International Airport,35.87764,-78.78747,34058,4.005373186916437,17.76
RHI,Rhinelander-Oneida County Airport,45.63119,-89.46745,1023,5.020527859237537,23.07
RIC,Richmond International Airport,37.50517,-77.31967,16515,5.3022101120193765,18.32
RKS,Rock Springs-Sweetwater County Airport,41.59422,-109.06519,727,-0.5488308115543329,10.73
RNO,Reno/Tahoe International Airport,39.49858,-119.76806,13988,4.91449814126394,17.66
ROA,Roanoke Regional Airport (Woodrum Field),37.32547,-79.97543,2440,6.56516393442623,18.48
ROC,Greater Rochester International Airport,43.11887,-77.67238,7971,0.8631288420524401,15.98
ROW,Roswell International Air Center,33.30156,-104.53056,1003,5.892323030907278,17.05
RST,Rochester International Airport,43.90883,-92.49799,2156,3.4948979591836733,19.34
RSW,Southwest Florida International Airport,26.53617,-81.75517,28694,3.57607862270858,17.59
SAF,Santa Fe Municipal Airport,35.61678,-106.08814,1523,8.013131976362443,20.42
SAN,San Diego International Airport (Lindbergh Field),32.73356,-117.18966,75454,3.0306411853579664,17.2
SAT,San Antonio International Airport,29.53369,-98.46978,31969,1.7188839187963338,14.66
SAV,Savannah/Hilton Head International Airport,32.12758,-81.20214,8028,5.461509715994021,18.55
SBA,Santa Barbara Municipal Airport (Santa Barbara Airport),34.42621,-119.84037,6441,5.113025927650986,17.53
SBN,South Bend International Airport (South Bend Regional),41.70895,-86.31847,4757,8.679419802396469,18.31
SBP,San Luis Obispo County Regional Airport (McChesney Field),35.23706,-120.64239,3309,4.6908431550317315,18.95
SCC,Deadhorse Airport (Prudhoe Bay Airport),70.19476,-148.46516,896,0.9051339285714286,13.39
SCE,University Park Airport,40.85121,-77.8463,944,5.404661016949152,17.37
SDF,Louisville International Airport (Standiford Field),38.17439,-85.736,10781,2.691123272423708,16.64
SEA,Seattle-Tacoma International Airport,47.44898,-122.30931,120539,2.5804594363649938,16.49
SFO,San Francisco International Airport,37.619,-122.37484,159585,5.400820879155309,19.91
SGF,Springfield-Branson National Airport,37.24433,-93.38686,6556,8.630414887126296,20.0
SGU,St. George Regional Airport,37.09058,-113.59306,1973,1.9113025848960974,11.2
SHV,Shreveport Regional Airport,32.44663,-93.8256,6478,9.194813213954925,19.88
SIT,Sitka Rocky Gutierrez Airport,57.04714,-135.3616,1414,2.041018387553041,15.35
SJC,Norman Y. Mineta San José International Airport,37.36186,-121.92901,41165,4.828154986031823,17.37
SJT,San Angelo Regional Airport (Mathis Field),31.35775,-100.49631,1693,4.0378027170702895,17.9
