ROUTE,ORIGIN_AIRPORT,ORIGIN_AIRPORT_NAME,DESTINATION_AIRPORT,DESTINATION_AIRPORT_NAME,ORIGIN_LATITUDE,ORIGIN_LONGITUDE,DESTINATION_LATITUDE,DESTINATION_LONGITUDE,flights,delayed_flights,avg_arrival_delay,delayed_15_rate,delayed_15_pct,adjusted_delay_rate,adjusted_delay_pct,flights_normalized,avg_arrival_delay_positive,avg_delay_normalized,delay_impact_score,cluster,pca_1,pca_2
MSP-IND,MSP,Minneapolis-Saint Paul International Airport,IND,Indianapolis International Airport,44.88055,-93.21692,39.71733,-86.29438,968,104,5.8078512396694215,0.1074380165289256,10.74,0.1148043885756817,11.48,6.560043372187585,5.8078512396694215,1.524370404112709,8.76,2,-3.067196843214167,0.5854824343805846
HRL-IAH,HRL,Valley International Airport,IAH,George Bush Intercontinental Airport,26.22851,-97.65439,29.98047,-95.33972,1284,126,7.567757009345795,0.0981308411214953,9.81,0.1044877796234307,10.45,8.701545134182705,7.567757009345795,1.986287928962151,8.74,2,-2.9707691769818996,0.7119649180860746
MSP-DLH,MSP,Minneapolis-Saint Paul International Airport,DLH,Duluth International Airport,44.88055,-93.21692,46.84209,-92.19365,716,80,6.856145251396648,0.1117318435754189,11.17,0.1208469203417011,12.08,4.852263486039577,6.856145251396648,1.799513189342952,8.73,2,-2.9255639160190072,0.2801705651206052
SAN-ATL,SAN,San Diego International Airport (Lindbergh Field),ATL,Hartsfield-Jackson Atlanta International Airport,32.73356,-117.18966,33.64044,-84.42694,2210,167,3.956561085972851,0.0755656108597285,7.56,0.0803511199129126,8.04,14.97695852534562,3.956561085972851,1.0384674766332942,8.72,2,-3.608496720882242,1.7917556685979577
SLC-ONT,SLC,Salt Lake City International Airport,ONT,Ontario International Airport,40.78839,-111.97777,34.056,-117.60119,1028,108,6.0,0.1050583657587548,10.51,0.1122438714528618,11.22,6.966657630794253,6.0,1.574803149606299,8.71,2,-3.0814950376771097,0.6285551480412728
LIH-OGG,LIH,Lihue Airport,OGG,Kahului Airport,21.97598,-159.33896,20.89865,-156.43046,1424,136,4.90308988764045,0.095505617977528,9.55,0.10145084448742,10.15,9.650311737598264,4.90308988764045,1.286900232976496,8.7,2,-3.29557283835893,1.0672056939505339
ANC-SCC,ANC,Ted Stevens Anchorage International Airport,SCC,Deadhorse Airport (Prudhoe Bay Airport),61.17432,-149.99619,70.19476,-148.46516,717,80,6.189679218967922,0.1115760111576011,11.16,0.1206990048945265,12.07,4.859040390349689,6.189679218967922,1.6245877215138902,8.7,2,-3.0066569728271904,0.342785681427015
MSP-RHI,MSP,Minneapolis-Saint Paul International Airport,RHI,Rhinelander-Oneida County Airport,44.88055,-93.21692,45.63119,-89.46745,725,80,7.507586206896551,0.1103448275862069,11.03,0.1195285903016098,11.95,4.913255624830577,7.507586206896551,1.9704950674269164,8.69,2,-2.879145279817278,0.23960079974060725
ATL-SMF,ATL,Hartsfield-Jackson Atlanta International Airport,SMF,Sacramento International Airport,33.64044,-84.42694,38.69542,-121.59077,609,69,5.891625615763547,0.1133004926108374,11.33,0.123569939349546,12.36,4.127134724857686,5.891625615763547,1.5463584293342645,8.68,2,-3.03079593064539,0.2788008790353711
SJU-BWI,SJU,Luis Muñoz Marín International Airport,BWI,Baltimore-Washington International Airport,18.43942,-66.00183,39.1754,-76.6682,651,72,8.192012288786483,0.1105990783410138,11.06,0.1206539107840587,12.07,4.411764705882353,8.192012288786483,2.150134458999077,8.67,2,-2.810757420327835,0.12312849725407547
LRD-IAH,LRD,Laredo International Airport,IAH,George Bush Intercontinental Airport,27.54374,-99.46154,29.98047,-95.33972,980,101,9.210204081632654,0.1030612244897959,10.31,0.1107510064803964,11.08,6.641366223908918,9.210204081632654,2.417376399378649,8.67,2,-2.7671304825889016,0.32091246865827944
CAK-MCO,CAK,Akron-Canton Regional Airport,MCO,Orlando International Airport,40.91631,-81.44247,28.42889,-81.31603,572,64,8.229020979020978,0.1118881118881118,11.19,0.1229331651768275,12.29,3.876389265383573,8.229020979020978,2.159848025989758,8.67,2,-2.7963526544957387,0.05231352604059207
PHX-DRO,PHX,Phoenix Sky Harbor International Airport,DRO,Durango-La Plata County Airport,33.43417,-112.00806,37.15152,-107.75377,739,82,5.741542625169148,0.1109607577807848,11.1,0.1199178629306652,11.99,5.008132285172134,5.741542625169148,1.5069665682858655,8.67,2,-3.068174406248688,0.4045820335504578
ANC-MSP,ANC,Ted Stevens Anchorage International Airport,MSP,Minneapolis-Saint Paul International Airport,61.17432,-149.99619,44.88055,-93.21692,634,70,8.481072555205047,0.1104100946372239,11.04,0.1207235517695206,12.07,4.296557332610464,8.481072555205047,2.226003295329409,8.65,2,-2.7869960745534104,0.08688886996501553
SJC-SLC,SJC,Norman Y. Mineta San José International Airport,SLC,Salt Lake City International Airport,37.36186,-121.92901,40.78839,-111.97777,1811,151,6.080618442849255,0.0833793484262838,8.34,0.0887551475661057,8.88,12.272973705611276,6.080618442849255,1.5959628458921928,8.64,2,-3.313057635863336,1.2987027377816531
SLC-BIL,SLC,Salt Lake City International Airport,BIL,Billings Logan International Airport,40.78839,-111.97777,45.80766,-108.54286,1143,115,6.377952755905512,0.1006124234470691,10.06,0.1074908181808754,10.75,7.746001626457034,6.377952755905512,1.674003348006696,8.64,2,-3.1035737219277917,0.7088522339285444
SYR-CLT,SYR,Syracuse Hancock International Airport,CLT,Charlotte Douglas International Airport,43.11119,-76.10631,35.21401,-80.94313,646,72,6.1656346749226,0.1114551083591331,11.15,0.1214625831083487,12.15,4.377880184331797,6.1656346749226,1.618276817564987,8.63,2,-3.031637124028574,0.29686596405653365
